member,date_created,date_updated,id,email,name,badge,observed_id,active,comments,last_audio_ts,last_audio_ts_fract,last_proximity_ts,last_contacted_ts,last_voltage,last_seen_ts,last_unsync_ts,project,region
IMTEUX0ZLJ,2019/5/28 12:56,2019/5/28 12:56,10,,Badge307,DD:BC:6D:F8:70:73,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
LM7NJI3HQH,2019/5/28 12:56,2019/5/28 12:56,9,,Badge306,D6:20:14:E3:25:26,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
0UQCHL9WC9,2019/5/28 12:56,2019/5/28 12:56,8,,Badge305,E7:99:4C:9A:B8:D2,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
8THPPN23F8,2019/5/28 12:56,2019/5/28 12:56,7,,Badge304,F7:EC:B0:6E:6D:20,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
7AVP31LZU1,2019/5/28 12:56,2019/5/28 12:56,6,,Badge303,ED:93:5E:4D:1D:DD,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
81BK4LF47T,2019/5/28 12:56,2019/5/28 12:56,5,,Badge302,FA:8D:2B:28:B4:19,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
2CJG5KK4I9,2019/5/28 12:56,2019/5/28 12:56,4,,Badge301,C7:2A:94:7F:74:36,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
EGOQW802K9,2019/5/24 17:20,2019/5/24 19:36,3,,Badge474,C7:26:96:12:9A:2F,3,1,,1558726570,971,1558726554,1558726570,2.91,1558726571,1558724844,1,Team1
X824RAN0KJ,2019/5/24 16:49,2019/5/27 18:30,2,,dummy2,AA:BB:CC:CC:CC,2,1,,1558903130,182,1558903118,1558903130,2.87,1558904323,1558896548,1,Team2
NPZH4NRPB5,2019/5/20 18:29,2019/5/20 18:29,1,,dummy,AA:BB:CC:DD,0,1,,1558376954,0,1558376954,0,0,0,0,1,Team2
